"name","symbol","CIK"
"ABERDEEN ASIA","FAX","790500"
"ABERDEEN AUST","IAF","779336"
"ABLEAUCTION COM","AAC","1099290"
"ABLEST","AIH","0000046653"
"ABRAXAS PETROL","ABP","0000867665"
"ACADIANA BANCSH","ANA","1011024"
"ACCESS PHARM","AKC","318306"
"ACME UNITED","ACU","0000002098"
"ADAMS RESOURCES","AE","0000002178"
"ADV MAGNETICS","AVM","792977"
"ADVANCED PHOTO","API","0000869986"
"ADVANTAGE MKTG","AMM","0000841866"
"AEGIS REALTY","AER","0001378789"
"AEROCENTURY","ACY","0001036848"
"AEROSONIC","AIM","0000109471"
"AEW REAL ESTATE FD","RIF","1191256"
"ALARIS MEDICAL","AMI","817161"
"ALLIANCE BNCP","ANE","1046002"
"ALLIED DEFENSE","ADG","0000003952"
"ALLIED HEALTH","ADH","0001211583"
"ALLIED HLDGS","AHI","0000909950"
"ALLOU HEALTHCARE STK A","ALU","0000886125"
"ALPHA PRO TECH","APT","884269"
"ALTEON","ALT","0000878903"
"ALTERRA HLTHCARE","ALI","1013218"
"AM CASTLE","CAS","0000018172"
"AMC ENTERTAINMNT","AEN","0001041829"
"AMCON DISTRIB","DIT","0000928465"
"AMDL","ADL","0000838879"
"AMER BILTRITE","ABL","0000004611"
"AMER COMM PPTYS","APO","0001065645"
"AMER INSURED","AIA","724533"
"AMER INSURED","AII","753281"
"AMER INSURED","AIJ","784014"
"AMER INSURED","AIK","811437"
"AMER ISRAEL PAP","AIP","0000005337"
"AMER MTG ACCEPT","AMC","0000878774"
"AMER SCIENCE","ASE","5768"
"AMER SHARED","AMS","0000744825"
"AMER SPEC RLTY","AQQ","0001121783"
"AMER TECHNICAL","AMK","0000766430"
"AMER VANGUARD","AVD","0000005981"
"AMERIVEST PROP","AMV","0000927102"
"AMPEX","AXC","887433"
"AMREIT","AMY","0000913957"
"ANDREA ELTR","AND","6494"
"ANTEX BIOLOGICS","ANX","0001160308"
"ANWORTH MORTGAGE","ANH","0001047884"
"APEX MTG CAPITAL","AXM","1045956"
"APEX SILVER","SIL","0001011509"
"APPLIED GRAPHICS","AGD","1362481"
"AQUACELL TECH","AQA","1114655"
"ARIZONA LAND","AZL","0000830748"
"ARRHYTHMIA RSC","HRT","0000819689"
"ARV ASSTD LIVING","SRS","949322"
"AT CROSS","ATX","0000025793"
"ATC HEALTHCARE STK A","AHN","0000720480"
"ATEC GROUP INC","TEC","0001131072"
"ATLANTIC PREMIUM","ABR","0001253986"
"ATLANTIC TEL NET","ANK","879585"
"ATLANTIS PLAST","AGH","811828"
"ATLAS PIPELINE","APL","0001092914"
"ATSI COMMUNICATN","AI","1014052"
"AVALON HOLDINGS STK A","AWX","0001061069"
"AVANIR PHARM","AVN","858803"
"AVITAR","AVR","0001285043"
"AXS ONE","AXO","0000947427"
"AZCO MININGS","AZC","851726"
"B2B INTERNET ML ETF ADR","BHH","1107282"
"BADGER METER","BMI","0000009092"
"BALCHEM","BCP","9326"
"BALDWIN TECH","BLD","0000805792"
"BANCROFT CONV FD","BCV","9521"
"BAR HARBOR BK","BHB","0000743367"
"BARNWELL INDS","BRN","0000010048"
"BARRISTER GLOBAL","BIS","754128"
"BAY STATE BANCP","BYS","1048767"
"BAYCORP HLDGS","MWH","0001012127"
"BAYOU STEEL","BYX","807877"
"BELL INDUSTRIES","BI","0000945489"
"BEMA GOLD","BGO","0000879338"
"BENNETT ENVNMTL","BEL","1048295"
"BENTLEY PHARM","BNT","0000821616"
"BERGSTROM CAP","BEM","28827"
"BERKSHIRE HILLS","BHL","1108134"
"BEXIL FD","BXL","1023714"
"BIG CITY RADIO","YFM","1046284"
"BIO RAD","BIO","0000012208"
"BIO RAD STK B","BIO.B","12208"
"BIONOVA HOLDING","BVA","1020866"
"BIOTIME","BTX","0000876343"
"BIW","BIW","0001169237"
"BLACK ROCK BROAD","BCT","892789"
"BLACKROCK CA","RAA","902722"
"BLACKROCK FL","RFA","902719"
"BLACKROCK MD MUN BOND TR","BZM","1169029"
